name,brand,address,roadAddress,latitude,longitude,phoneNumber
홍대네컷 이태원점,홍대네컷,서울 용산구 이태원동,,37.5402662116134,126.991527297365,
홍대네컷 서산점,홍대네컷,충남 서산시 예천동 1250-2,충남 서산시 호수공원5로 16,36.7749250402257,126.448697452182,
홍대네컷 신탄진점,홍대네컷,대전 대덕구 신탄진동 143-1,대전 대덕구 신탄진로810번길 6,36.4497766248224,127.42955733119,
홍대네컷 홍대2호점,홍대네컷,서울 마포구 서교동 365-10,서울 마포구 홍익로3길 25,37.5532600788241,126.921835828416,
홍대네컷 홍대3호점,홍대네컷,서울 마포구 서교동 365-19,서울 마포구 홍익로3길 39,37.5526248230707,126.921621017968,
홍대네컷 상수점,홍대네컷,서울 마포구 서교동 411-16,서울 마포구 와우산로15길 29,37.549189699097,126.921789268503,
홍대네컷 서울랜드점,홍대네컷,경기 과천시 막계동 54,,37.4340677502832,127.020671471159,
홍대네컷 행궁2호점,홍대네컷,경기 수원시 팔달구 남창동 89,경기 수원시 팔달구 행궁로 31-3,37.27977143222,127.015053139917,
홍대네컷 중동현대점,홍대네컷,경기 부천시 원미구 중동 1162-2,경기 부천시 원미구 석천로177번길 11,37.5031091878246,126.762102111299,
홍대네컷 동삭점,홍대네컷,경기 평택시 동삭동 0,경기 평택시 지제동삭2로 181-40,37.0180354034706,127.09483085585,
홍대네컷 CGV 대전점,홍대네컷,대전 중구 문화동 1-16,대전 중구 계백로 1700,36.3206307458962,127.408799114142,
